Id,Disease,County,Year,Sex,Count,Population,Rate,CI_lower,CI_upper,Recalculated_Rate
116211,Streptococcal Infection (cases in food and dairy workers),California,2012,Female,5,19028077,0.026000000000000002,0.009000000000000001,0.061,0.026
95347,Q Fever,California,2008,Female,3,18526603,0.016,0.003,0.047,0.016
26,Amebiasis,California,2009,Male,285,18445222,1.545,1.371,1.735,1.545
92948,Psittacosis,California,2010,Male,0,18558691,0.0,0.0,0.02,0.0
139314,Yersiniosis,California,2001,Female,32,17340743,0.185,0.126,0.261,0.185
106067,Scombroid Fish Poisoning,California,2003,Male,11,17607062,0.062,0.031,0.11199999999999999,0.062
48425,Giardiasis,California,2002,Male,1443,17384620,8.3,7.877999999999999,8.74,8.3
97827,"Rabies, human",California,2013,Female,0,19177344,0.0,0.0,0.019,0.0
7487,"Botulism, Foodborne",California,2013,Male,0,18988773,0.0,0.0,0.019,0.0
103647,Salmonellosis,California,2006,Male,2308,18028441,12.802,12.285,13.335,12.802
95345,Q Fever,California,2007,Male,15,18180620,0.083,0.046,0.136,0.083
90458,"Plague, human",California,2013,Male,0,18988773,0.0,0.0,0.019,0.0
34399,Cysticercosis or Taeniasis,California,2005,Male,42,17899282,0.235,0.16899999999999998,0.317,0.235
61277,HIV,California,2014,Female,0,19346905,0.0,0.0,0.019,0.0
116186,Streptococcal Infection (cases in food and dairy workers),California,2004,Female,3,17969405,0.017,0.003,0.049,0.017
139320,Yersiniosis,California,2003,Female,31,17783924,0.174,0.11800000000000001,0.247,0.174
27292,Coccidioidomycosis,California,2010,Male,2948,18558691,15.885,15.315999999999999,16.469,15.885
103638,Salmonellosis,California,2003,Male,1901,17607062,10.797,10.317,11.293,10.797
74708,Listeriosis,California,2011,Female,79,18881056,0.418,0.331,0.521,0.418
87886,Pertussis,California,2002,Female,724,17555714,4.124,3.8289999999999997,4.436,4.124
19912,Chlamydia,California,2013,Male,54926,18988773,289.255,286.845,291.681,289.255
34420,Cysticercosis or Taeniasis,California,2012,Male,16,18841496,0.085,0.049,0.138,0.085
82073,Measles,California,2005,Female,1,18088355,0.006,0.0,0.031,0.006
69756,Leprosy,California,2003,Male,13,17607062,0.07400000000000001,0.039,0.126,0.074
102746,Rubella,California,2010,Male,0,18558691,0.0,0.0,0.02,0.0
61265,HIV,California,2010,Female,618,18752748,3.2960000000000003,3.0410000000000004,3.5660000000000003,3.296
